0,0
17'800,25.41
18'000,26.95
19'000,34.65
20'000,42.35
21'000,50.05
22'000,57.75
23'000,65.45
24'000,73.15
25'000,80.85
26'000,88.55
27'000,96.25
28'000,103.95
28'200,105.49
29'000,111.65
30'800,125.51
31'000,127.05
31'600,131.65
31'700,132.53
32'000,135.17
33'000,143.97
34'000,152.77
35'000,161.57
36'000,170.37
37'000,179.17
38'000,187.97
39'000,196.77
40'000,205.57
41'400,217.90
41'500,220.54
42'000,233.74
43'000,260.14
44'000,286.54
45'000,312.94
46'000,339.34
47'000,365.74
48'000,392.14
49'000,418.54
50'000,444.94
50'900,468.70
51'000,471.34
53'000,524.14
54'000,550.54
54'500,563.74
55'200,582.20
55'300,585.17
56'000,605.96
57'000,635.66
58'400,677.24
58'500,680.21
60'000,724.76
65'000,873.26
70'000,1'021.76
72'500,1'096.00
72'600,1'101.94
73'000,1'125.70
75'300,1'262.32
75'400,1'268.26
78'100,1'428.60
78'200,1'435.20
79'000,1'488.00
80'000,1'554.00
90'300,2'233.80
90'400,2'240.40
92'500,2'379.00
95'000,2'544.00
103'400,3'098.40
103'500,3'105.00
103'600,3'111.60
103'700,3'120.40
104'000,3'146.80
105'000,3'234.80
114'700,4'088.40
114'800,4'097.20
117'500,4'334.80
120'000,4'554.80
124'200,4'924.40
124'300,4'933.20
125'000,4'994.80
131'700,5'584.40
131'800,5'593.20
134'600,5'839.60
134'700,5'850.60
137'300,6'136.60
137'400,6'147.60
141'200,6'565.60
141'300,6'576.60
143'100,6'774.60
143'200,6'785.60
143'500,6'818.60
145'000,6'983.60
145'100,6'994.60
150'000,7'533.60
160'000,8'633.60
170'000,9'733.60
176'000,10'393.60
176'100,10'406.80
180'000,10'921.60
190'000,12'241.60
200'000,13'561.60
250'000,20'161.60
300'000,26'761.60
350'000,33'361.60
400'000,39'961.60
500'000,53'161.60
600'000,66'361.60
700'000,79'561.60
755'200,86'848.00
755'300,86'859.50
800'000,92'000.00
850'000,97'750.00
895'800,103'017.00
895'900,103'028.50
