30'800;25
31'000;27
31'600;33
31'700;34
32'000;37
33'000;47
34'000;57
35'000;67
36'000;77
37'000;87
38'000;97
39'000;107
40'000;117
41'400;131
41'500;132
42'000;137
43'000;147
44'000;157
45'000;167
46'000;177
47'000;187
48'000;197
49'000;207
50'000;217
50'900;226
51'000;228
53'000;268
54'000;288
54'500;298
55'200;312
55'300;314
56'000;328
57'000;348
58'400;376
58'500;379
60'000;424
65'000;574
70'000;724
72'500;799
72'600;802
73'000;814
75'300;883
75'400;887
78'100;995
78'200;999
79'000;1'031.00
80'000;1'071.00
90'300;1'483.00
90'400;1'488.00
92'500;1'593.00
95'000;1'718.00
103'400;2'138.00
103'500;2'144.00
103'600;2'150.00
103'700;2'156.00
104'000;2'174.00
105'000;2'234.00
114'700;2'816.00
114'800;2'823.00
117'500;3'012.00
120'000;3'187.00
124'200;3'481.00
124'300;3'489.00
125'000;3'545.00
131'700;4'081.00
131'800;4'090.00
134'600;4'342.00
134'700;4'351.00
137'300;4'585.00
137'400;4'595.00
141'200;4'975.00
141'300;4'986.00
143'100;5'184.00
143'200;5'196.00
143'500;5'232.00
145'000;5'412.00
145'100;5'425.00
150'000;6'062.00
160'000;7'362.00
170'000;8'662.00
176'000;9'442.00
176'100;9'455.00
180'000;9'962.00
190'000;11'262.00
200'000;12'562.00
250'000;19'062.00
300'000;25'562.00
350'000;32'062.00
400'000;38'562.00
500'000;51'562.00
600'000;64'562.00
700'000;77'562.00
755'200;84'738.00
755'300;84'751.00
800'000;90'562.00
850'000;97'062.00
895'800;103'016.00
895'900;103'028.50
